,asset,chrtagnt,clcode,effdate,fdicregn,name,trust,total_violations,unique_violations,year,decade,violation,no_violation
187,,STATE,13,11/15/1982,New York,Hunterdon County Trust Company,,0.0,0.0,1982,1980,0.0,1.0
188,,OCC,3,02/05/1971,New York,Broadway National Bank & Trust Co. of Pitman,,0.0,0.0,1971,1970,0.0,1.0
189,,STATE,21,12/04/1970,New York,Orange Valley Bank,,0.0,0.0,1970,1970,0.0,1.0
190,431791.0,STATE,13,01/01/1992,Chicago,Norwest Bank Wisconsin East Central,1.0,0.0,0.0,1992,1990,0.0,1.0
191,12248.0,STATE,21,09/03/1996,Kansas City,Security State Bank of Adams,0.0,0.0,0.0,1996,1990,0.0,1.0
192,25427.0,STATE,21,04/11/1997,Kansas City,Dakota Community Bank,0.0,0.0,0.0,1997,1990,0.0,1.0
193,160291.0,STATE,21,08/31/2022,Kansas City,The Goose River Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
194,26253.0,STATE,21,04/20/1991,Kansas City,Northwood State Bank,0.0,0.0,0.0,1991,1990,0.0,1.0
195,103341.0,STATE,21,10/01/1995,Chicago,M&I South Shore Bank,0.0,0.0,0.0,1995,1990,0.0,1.0
196,2926.0,STATE,21,07/31/1996,Kansas City,Farmers State Bank of Ypsilanti,0.0,0.0,0.0,1996,1990,0.0,1.0
197,45465.0,STATE,21,02/01/1996,Kansas City,"Farmers & Merchants Bank, Beach, North Dakota",1.0,0.0,0.0,1996,1990,0.0,1.0
198,104686.0,STATE,21,08/31/2022,Kansas City,First State Bank of Golva,0.0,0.0,0.0,2022,2020,0.0,1.0
199,54133.0,STATE,21,04/20/1991,Kansas City,West Fargo State Bank,0.0,0.0,0.0,1991,1990,0.0,1.0
200,10036.0,STATE,21,09/03/1996,Kansas City,Lamb's Bank of Michigan City,0.0,0.0,0.0,1996,1990,0.0,1.0
201,4750647.0,STATE,21,08/31/2022,Kansas City,First International Bank & Trust,1.0,0.0,0.0,2022,2020,0.0,1.0
202,383121.0,STATE,21,08/23/2019,Kansas City,United Community Bank of North Dakota,0.0,0.0,0.0,2019,2010,0.0,1.0
203,244917.0,STATE,13,01/01/1996,Chicago,Baylake Bank,1.0,0.0,0.0,1996,1990,0.0,1.0
204,143418.0,STATE,21,08/31/2022,Kansas City,Peoples State Bank of Velva,0.0,0.0,0.0,2022,2020,0.0,1.0
205,11720.0,STATE,21,10/15/1987,Kansas City,Citizens State Bank of Ray,0.0,0.0,0.0,1987,1980,0.0,1.0
206,66385.0,STATE,21,08/31/2022,Kansas City,First Security Bank - West,0.0,0.0,0.0,2022,2020,0.0,1.0
207,3235803.0,OCC,3,10/31/1997,Chicago,"National City Bank, Northeast",1.0,0.0,0.0,1997,1990,0.0,1.0
208,786940.0,STATE,21,08/29/2021,Chicago,The Old Fort Banking Company,0.0,0.0,0.0,2021,2020,0.0,1.0
209,655257.0,STATE,13,09/30/1984,Chicago,The Harter Bank & Trust Company,1.0,0.0,0.0,1984,1980,0.0,1.0
210,161059.0,OCC,3,08/15/1997,Dallas,Boatmen's National Bank of Batesville,1.0,0.0,0.0,1997,1990,0.0,1.0
211,40511.0,STATE,21,05/15/1985,Chicago,The Edgerton State Bank Company,0.0,0.0,0.0,1985,1980,0.0,1.0
212,74156.0,STATE,21,04/21/1999,Chicago,The Citizens-State Bank of Strasburg,0.0,0.0,0.0,1999,1990,0.0,1.0
213,305252.0,STATE,21,08/31/2022,Chicago,The Citizens Bank Company,0.0,0.0,0.0,2022,2020,0.0,1.0
214,372127.0,STATE,13,10/15/2013,Chicago,The Farmers Citizens Bank,0.0,0.0,0.0,2013,2010,0.0,1.0
215,,STATE,21,12/31/1979,Chicago,The Huntington Bank of Chillicothe,,0.0,0.0,1979,1970,0.0,1.0
216,341998.0,STATE,13,08/31/2022,Dallas,Farmers Bank and Trust Company,1.0,0.0,0.0,2022,2020,0.0,1.0
217,,STATE,13,05/02/1983,Chicago,The Bank of Elmore Company,,0.0,0.0,1983,1980,0.0,1.0
218,,OCC,3,01/15/1973,Chicago,Citizensbank National Associaton,,0.0,0.0,1973,1970,0.0,1.0
